INPUT:text	OUTPUT:audio_record	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
- Жить в мире, и не проявлять своих сексуальных девиаций, чтобы не травмировать свое окружение - вот, кто действительно достоин медали	ru.da5b579f-2673-44e1-a302-4ed0ccaf8eec			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	0f4f3bd6-654f-479c-8c85-f49854ce99da	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Я слишком долго был в стороне, лишь наблюдателем. Теперь же , я хочу быть участником этого мира, пускай даже для того, чтобы подержать яблоко в руке	ru.cf1621de-1a3e-458c-abf8-67bbf3aa40e8			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	b95fe642-9752-4a4e-8dab-b236be1234be	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- У кого же много собственной внутренней теплоты, тот пусть лучше держится вдали от общества, чтобы не обременять ни себя, ни других	ru.0f9b9177-8d75-418b-8b68-3d02c04bcfa4			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	3a168d0e-e3be-4a1a-9956-0958fb93484d	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Находишь только тогда, когда не знаешь, чего ищешь. А понимаешь, что нашел, чаще всего только тогда, когда уже потерял.	ru.34494ce6-3d3f-4372-b64c-cfa2ffd7d0c7			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	1b55b56b-5f7d-4e0e-9308-41e63188946a	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Если они начинают жаловаться, дай им больше любви. Если они все еще жалуются, дай им еще больше любви.	ru.5dc6a6ac-fa3c-4d53-a665-e6df6f848579			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	72b4964e-a05f-4c6b-863e-427952dd0ccc	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- В этом мире многие... несчастны, но только по причине неумения любить, любить другое существо	ru.ea3b2e17-abce-4922-bd22-37df10c6b55f			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	5781b787-ac1e-4fca-a2bd-efdebfd20858	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Количество его друзей уменьшается по мере того, как его потребность в них растёт. Такова обратная, точнее, превратная, арифметика жизни	ru.3c3bbb88-47d9-4f1f-89fc-dd59196d08a5			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	298055f5-896c-4716-84c3-a5680ea357ea	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Государство не есть орудие нравственности, но оно не должно быть и этическою несправедливостью	ru.43d10b4f-ee73-4833-9512-356ac8108057			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	6b63e906-64f6-43ff-bfb1-fcf419ebe276	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Ну, я-то ещё с детства мудрый был, лежал себе спокойненько на диване	ru.ba833ca8-7a6d-45f7-a939-9cc3103471c5			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	5db00dd2-457c-4333-9448-b00233bd5209	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
- Как бы вы ни дергали за ручку, для данных координат результат неизменен. Я рано всему научился… а вы бы?..	ru.04fceddf-6819-4b6f-9df2-4d28d53149df			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf18623311395849cb5f	4ad4423c-1647-423c-a5d5-49c3bae03808	0001db3ed8--61eacf18623311395849cb5f	3571fd4e1298367e5e23d4185bbd89b5	APPROVED	2022-01-21T15:19:52.940	+	
											
- Что человек соединил, природа разделить бессильна	ru.a07cdaed-3842-472a-acae-83a790314560			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	85b4a075-1a72-478a-bb47-87908ba12847	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Бог, когда людей создавал, тоже не выбирал материал	ru.78170388-b4c6-4d35-98de-ca16807ad227			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	7847fe6d-5f69-4f8e-bfba-25d1ebece4bd	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Во всякое время можно сесть и читать, но не сесть и думать	ru.21498877-2d56-4b12-86b4-0c42f527b4bf			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	1a5941b4-1bdd-4ab7-9d67-5f77e7ffe75a	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Задавать вопросы надо много и долго для того, чтобы скрыть то, чего ожидаешь и чему желаешь подтверждения	ru.6e251e66-9fed-4365-b8d5-ee2a7833c8ce			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	53f65a3e-5534-4e80-8743-3411d8a3ccab	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Часто я неправильно думаю, потому что думаю так, как будто бы с кем-то разговариваю	ru.a6fdfd53-f23f-4c6c-bf6b-90b31a97fb52			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	76b0a841-efc9-4e0f-beca-8692a4bc1245	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Какая все-таки это дичь - пожирать живых существ! Прерывать жизнь, разрушать гармонию только для процесса переваривания пищи. Который кончается известно чем.”	ru.f74dd18b-800b-47e9-8bcc-14e8113c9632			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	b6864650-1a0d-4b57-af18-8ab3ea775897	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Хорошие любовники знают, что хорошим любовником надо показать себя только однажды	ru.7fb744c2-cdf9-4973-9f19-cf44b42c8147			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	87ba2cfd-654e-4ef0-a38e-5899de2f6b67	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Свобода – это возможность сказать, что дважды два – четыре. Если дозволено это, все остальное отсюда следует.	ru.8058eea7-a90e-4afb-ad9b-7ff38de956fb			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	97a8c8d2-3e3f-431b-aeac-8d2c7b8c1525	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Вместо того, чтобы прежде всего проверить свою мысль, всегда предпочитает допустить ошибку в чужой мысли	ru.9e44ef97-7b57-4f08-8d60-7fb246a532fc			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	9328499b-4a10-4171-8585-3ffb43f309e7	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
- Если государь, который проповедует мир и верность, последует тому, что проповедует, то быстро лишится могущества и государства	ru.0000a686-2e05-486b-ba7b-c3b31090b364			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf19c1478e5c8f188d75	a7e5d51e-bf82-4951-8d41-2cc8c3ae0cb9	0001db3ed8--61eacf19c1478e5c8f188d75	c513ef65c25896838b1c5538922c3839	APPROVED	2022-01-21T15:19:53.493	+	
											
- Для трагедий необходима социальная нестабильность	ru.36621ea4-0962-4cea-946c-65f978a064cd			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf2e60aa816eaf13998b	5e25b7db-87da-40eb-a974-2ad4bdddeaa7	0001db3ed8--61eacf2e60aa816eaf13998b	9fbd799230a97ce2dcbc666cb53ae063	APPROVED	2022-01-21T15:20:14.797	+	
- Умереть, знаете ли, никогда не поздно и всегда рано	ru.e0969a47-1fe7-481f-8661-76134a9e78a7			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf2e60aa816eaf13998b	7f56556b-3235-46d1-862d-fe2ffc26ae8d	0001db3ed8--61eacf2e60aa816eaf13998b	9fbd799230a97ce2dcbc666cb53ae063	APPROVED	2022-01-21T15:20:14.797	+	
- За всю свою жизнь мои родители ни разу не сказали чего-то такого, что хочется вышить шелком на своей подушке	ru.b3d3ba50-512a-4438-a304-38a88abc3e80			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf2e60aa816eaf13998b	d9f55a4c-eeb3-453d-903c-93146294d2f9	0001db3ed8--61eacf2e60aa816eaf13998b	9fbd799230a97ce2dcbc666cb53ae063	APPROVED	2022-01-21T15:20:14.797	+	
- Проблема таких, как он, в том, что они думают, будто могут плевать на таких, как я	ru.83154b5d-4e14-44cd-a60f-df2c53a236ae			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf2e60aa816eaf13998b	275555ab-3dd0-443f-91b6-d7a41fa8b49f	0001db3ed8--61eacf2e60aa816eaf13998b	9fbd799230a97ce2dcbc666cb53ae063	APPROVED	2022-01-21T15:20:14.797	+	
- Осознание человеческой отдельности без воссоединения в любви это источник стыда и в то же время это источник вины и тревоги.	ru.6aeb5e6a-e057-40a1-9f1e-91ee5eb60809			https://toloka.yandex.ru/task/31145688/0001db3ed8--61eacf2e60aa816eaf13998b	a4b793bc-1e32-4753-89fe-9de24e24ce77	0001db3ed8--61eacf2e60aa816eaf13998b	9fbd799230a97ce2dcbc666cb53ae063	APPROVED	2022-01-21T15:20:14.797	+	
